"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.086816669E-2,1.275542320E-1,2.134094549E0,3.751897498E0,4.318259426E0
2.091216668E-2,2.707176062E-1,2.074591821E0,4.362476036E0,4.838224510E0
3.095716669E-2,8.573579353E-1,1.795949776E0,5.028849875E0,5.408311131E0
4.100116668E-2,1.427149074E0,1.453273410E0,5.467301002E0,5.834392713E0
5.104616669E-2,1.896911894E0,1.192263059E0,5.853414871E0,6.267553876E0
6.109016668E-2,2.358863858E0,1.105785663E0,6.582909987E0,7.079668391E0
7.113516668E-2,2.678966463E0,1.293861939E0,6.376069996E0,7.035993790E0
8.117916668E-2,2.509870249E0,1.794720691E0,5.568015198E0,6.365788582E0
9.122416668E-2,2.158209636E0,2.284641934E0,4.471003867E0,5.465101388E0
1.012681667E-1,1.778538229E0,2.564808348E0,3.548161209E0,4.725556905E0
1.113131667E-1,1.288677506E0,2.682262831E0,2.977232641E0,4.209410624E0
1.213571667E-1,7.498044699E-1,2.653540138E0,2.705143570E0,3.862807754E0
1.314021667E-1,4.520692190E-1,2.608646093E0,2.388025677E0,3.565398666E0
1.414471667E-1,2.357028709E-1,2.438992932E0,2.053501791E0,3.197047383E0
1.514911667E-1,2.099643047E-1,2.119838453E0,1.758053094E0,2.761983120E0
1.615361667E-1,1.563362740E-1,1.895351273E0,1.049930720E0,2.172360926E0
1.715801667E-1,1.096760778E-1,1.742433135E0,2.870784080E-1,1.769326449E0
1.816251667E-1,1.023946863E-1,1.699605788E0,-4.610196251E-1,1.763996486E0
1.916691667E-1,1.486254045E-1,1.671975063E0,-1.002802162E0,1.955301076E0
2.017141667E-1,-8.271661296E-2,1.805451501E0,-1.662799612E0,2.455890818E0
2.117581667E-1,-9.483518668E-2,2.211780657E0,-3.117613764E0,3.823674014E0
2.218031667E-1,-2.905550162E-1,1.981326393E0,-3.874190260E0,4.361126765E0
2.318471667E-1,-1.148150202E0,1.754557044E0,-4.761914540E0,5.203128808E0
2.418921667E-1,-1.865547722E0,2.037247701E0,-5.711574283E0,6.344503707E0
2.519361667E-1,-2.093673332E0,2.252128199E0,-6.201575632E0,6.922072650E0
2.619811667E-1,-2.151437537E0,2.172283592E0,-6.554406565E0,7.232409342E0
2.720251667E-1,-2.556340410E0,2.196705658E0,-6.517636934E0,7.337573389E0
2.820701667E-1,-2.969533612E0,2.382615248E0,-5.716516349E0,6.868299969E0
2.921141667E-1,-2.785828714E0,2.179939936E0,-4.923870719E0,6.062794950E0
3.021577917E-1,-2.434085510E0,1.591342836E0,-4.379375659E0,5.257002516E0
3.122017917E-1,-2.181870687E0,9.685272458E-1,-3.987856039E0,4.647752199E0
3.222467917E-1,-2.031594906E0,4.484557128E-1,-4.056947324E0,4.559310471E0
3.322907917E-1,-2.019010236E0,1.966825005E-1,-4.088445105E0,4.564040941E0
3.423357917E-1,-1.838925349E0,2.346139732E-1,-4.108633202E0,4.507500077E0
3.523807917E-1,-1.762898389E0,4.233065459E-1,-4.658721124E0,4.999068081E0
3.624247917E-1,-2.181728453E0,4.759782645E-1,-4.583534701E0,5.098557121E0
3.724697917E-1,-2.875508630E0,3.193079683E-1,-4.607162715E0,5.440262470E0
3.825137917E-1,-3.862957174E0,-9.917550176E-2,-4.523393165E0,5.949231852E0
3.925587917E-1,-5.505307903E0,3.873546481E-1,-3.117367011E0,6.338488449E0
4.026027917E-1,-6.061664625E0,1.589676965E0,-6.412998086E-1,6.299374281E0
4.126477917E-1,-5.269931746E0,2.304809858E0,1.269366199E0,5.890298772E0
4.226917917E-1,-5.117227616E0,2.175848347E0,3.253006627E0,6.442234598E0
4.327367917E-1,-5.145874879E0,2.119325067E0,5.159543331E0,7.588969258E0
4.427807917E-1,-5.160656056E0,1.722803155E0,5.936742371E0,8.052659910E0
4.528257917E-1,-4.794348753E0,9.293938780E-1,6.113647542E0,7.824719753E0
4.628697917E-1,-4.063583621E0,7.019903988E-1,5.655881308E0,6.999606827E0
4.729147917E-1,-3.107394000E0,1.159305813E0,5.007080106E0,6.005891993E0
4.829587917E-1,-1.762359861E0,1.219849638E0,4.706941357E0,5.171966972E0
4.930037917E-1,-4.318955210E-1,1.430399103E0,4.257550090E0,4.512128999E0
5.030477917E-1,4.545145977E-1,1.330391250E0,3.196518431E0,3.492027273E0
5.130927917E-1,9.661535686E-1,5.538067514E-1,2.635521943E0,2.861141476E0
5.231367917E-1,8.777220333E-1,1.826804656E-1,3.294427718E0,3.414238145E0
5.331817917E-1,3.437978616E-1,-1.844507101E-1,4.065804101E0,4.084480631E0
5.432257917E-1,2.109570158E-1,-1.085437937E0,4.501740341E0,4.635552230E0
5.532707917E-1,4.817056122E-1,-1.607649844E0,4.856347657E0,5.138160263E0
5.633147917E-1,1.101967724E0,-1.532031020E0,4.480497406E0,4.861718720E0
5.733597917E-1,1.662742894E0,-1.639094415E0,3.222629172E0,3.979533040E0
5.834037917E-1,2.242395508E0,-1.964775556E0,2.201138724E0,3.705899659E0
5.934487917E-1,2.722175925E0,-1.761127268E0,1.031283365E0,3.402257544E0
6.034927917E-1,3.096199506E0,-1.463420376E0,-2.161791641E-1,3.431440515E0
6.135377917E-1,3.480873790E0,-1.233211695E0,-8.968804353E-1,3.800222091E0
6.235827917E-1,3.776208175E0,-9.948791850E-1,-8.161841816E-1,3.989447253E0
6.336267917E-1,3.792050328E0,-8.100972301E-1,-9.862229669E-1,4.001067227E0
6.436717917E-1,3.590379860E0,-1.112724846E0,-1.985584043E0,4.251061999E0
6.537157917E-1,4.066306377E0,-2.259139595E0,-2.939863670E0,5.502849958E0
6.637607917E-1,4.873020701E0,-3.424094695E0,-3.504494787E0,6.910299483E0
