"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.457892900E-2,7.774159908E-1,-3.506624699E-1,1.308638096E0,1.562009429E0
6.948434600E-2,5.672471523E-1,-3.063347340E-1,1.338276386E0,1.485460867E0
7.439351300E-2,3.857564926E-1,-2.803292274E-1,1.334218502E0,1.416873868E0
7.930965900E-2,2.358617783E-1,-3.284354210E-1,1.327952862E0,1.388149634E0
8.423564800E-2,1.168832779E-1,-3.840653896E-1,1.273539066E0,1.335316321E0
8.917382500E-2,-2.460885048E-2,-4.253332615E-1,1.230420589E0,1.302094008E0
9.412596100E-2,-2.120654583E-1,-4.359536171E-1,1.182855129E0,1.278347985E0
9.909314800E-2,-3.868207932E-1,-3.955175877E-1,1.075503826E0,1.209451515E0
1.040759090E-1,-5.109970570E-1,-3.519067764E-1,8.873243332E-1,1.082728426E0
1.090740860E-1,-5.568451881E-1,-2.732133865E-1,6.478037834E-1,8.968678052E-1
1.140868980E-1,-5.468139648E-1,-1.969311237E-1,3.849439621E-1,6.971149357E-1
1.191129920E-1,-4.286992550E-1,-1.266677380E-1,1.072301865E-1,4.597021644E-1
1.241505960E-1,-2.525310516E-1,-8.413720131E-2,-2.045583725E-1,3.357009509E-1
1.291975230E-1,-7.051563263E-2,-1.083507538E-1,-5.139942169E-1,5.300022597E-1
1.342512730E-1,5.358672142E-2,-1.681087017E-1,-7.538399696E-1,7.742136476E-1
1.393091900E-1,2.237684727E-1,-2.060518265E-1,-9.555039406E-1,1.002754938E0
1.443685650E-1,3.790197372E-1,-1.669747829E-1,-1.098209381E0,1.173712224E0
1.493991380E-1,4.375896454E-1,-8.983087540E-2,-1.212134361E0,1.291829708E0
1.543935130E-1,4.123904705E-1,-3.999233246E-2,-1.321588516E0,1.385013174E0
1.593878880E-1,3.242831230E-1,-2.515053749E-2,-1.408662796E0,1.445725758E0
1.643822110E-1,2.262690067E-1,-6.809473038E-3,-1.464817524E0,1.482205927E0
1.693765340E-1,1.465013027E-1,1.962709427E-2,-1.523262501E0,1.530417100E0
1.743708560E-1,4.748129845E-2,1.694202423E-2,-1.574410915E0,1.575217838E0
1.793651790E-1,-5.155014992E-2,-4.756689072E-3,-1.743572712E0,1.744341092E0
1.843595020E-1,-1.453151703E-1,1.700878143E-3,-1.999244690E0,2.004519574E0
1.893538250E-1,-1.867599487E-1,2.650475502E-2,-2.213418007E0,2.221441211E0
1.943481480E-1,-1.722905636E-1,5.537390709E-2,-2.205737591E0,2.213149030E0
1.993424710E-1,-1.130847931E-1,4.623961449E-2,-1.940110207E0,1.943953159E0
2.043367940E-1,7.323980331E-3,-2.775144577E-2,-1.656150341E0,1.656399027E0
2.093311170E-1,1.536788940E-1,-1.742267609E-1,-1.484614849E0,1.502682074E0
