"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.179612501E-2,-1.460220487E0,9.742051846E-1,-1.473123538E0,2.291596075E0
2.184212499E-2,-1.262224702E0,7.822674072E-1,-9.560618591E-1,1.766127904E0
3.188812500E-2,-1.136129496E0,7.116353810E-1,-1.450401843E-1,1.348425676E0
4.193412501E-2,-9.620681190E-1,7.088708174E-1,5.883094168E-1,1.331983810E0
5.197912498E-2,-5.924983621E-1,8.003405660E-1,9.416057879E-1,1.370481956E0
6.202512499E-2,-3.269385847E-1,7.019734418E-1,7.652683818E-1,1.088710819E0
7.207112500E-2,-3.821605664E-1,5.837678844E-1,5.761834610E-1,9.048861929E-1
8.211712498E-2,-2.575192711E-1,5.341811568E-1,3.842404211E-1,7.066161507E-1
9.216312499E-2,-1.826500601E-1,4.841898018E-1,-5.434986949E-2,5.203409622E-1
1.022091250E-1,-5.288493732E-1,6.068415821E-1,-6.292422652E-1,1.021706510E0
1.122551250E-1,-8.725308752E-1,7.709489518E-1,-9.880163080E-1,1.527039174E0
1.223011250E-1,-9.340763283E-1,7.963112497E-1,-1.132774072E0,1.670265635E0
1.323471250E-1,-8.182804084E-1,7.768318355E-1,-1.063960530E0,1.550826404E0
1.423931250E-1,-7.311241508E-1,7.472858548E-1,-7.684597921E-1,1.297501108E0
1.524391250E-1,-5.618148056E-1,7.221551067E-1,-4.850054884E-1,1.035555019E0
1.624851250E-1,-3.146122156E-1,6.955005741E-1,-4.307339716E-1,8.764893890E-1
1.725311250E-1,-1.940087150E-1,6.218256569E-1,-4.005635083E-1,7.646944836E-1
1.825771250E-1,-1.932848663E-1,4.183443063E-1,-6.158731914E-1,7.692013950E-1
1.926231250E-1,-3.242478788E-1,2.167989689E-1,-8.012673497E-1,8.911609538E-1
2.026691250E-1,-4.939625457E-1,3.012035269E-1,-7.002298021E-1,9.083195126E-1
2.127151250E-1,-6.284319873E-1,4.652220190E-1,-8.886703598E-1,1.183677869E0
2.227601250E-1,-7.539753619E-1,5.546399796E-1,-1.254830605E0,1.565472517E0
2.328061250E-1,-8.015690660E-1,6.448625171E-1,-1.481064057E0,1.803305680E0
2.428521250E-1,-8.788034758E-1,7.559292090E-1,-1.451464866E0,1.857545363E0
2.528981250E-1,-1.111324877E0,8.040669966E-1,-1.235096253E0,1.845814040E0
2.629441250E-1,-1.249566796E0,7.972813028E-1,-9.220111835E-1,1.745617162E0
2.729901250E-1,-1.076851009E0,7.977941036E-1,-6.008107638E-1,1.468692310E0
2.830361250E-1,-9.894149619E-1,8.023946929E-1,-3.012871420E-1,1.309027560E0
2.930821250E-1,-9.053200141E-1,8.025636774E-1,2.074592113E-3,1.209841762E0
3.031281250E-1,-6.248407736E-1,7.171194845E-1,1.600125647E-1,9.645156133E-1
3.131741250E-1,-4.525568037E-1,5.331426913E-1,1.444127780E-1,7.140755144E-1
3.232201250E-1,-4.596354429E-1,4.532586157E-1,1.920354259E-1,6.734877266E-1
3.332661250E-1,-4.681269157E-1,4.555039465E-1,1.314196801E-1,6.662565473E-1
3.433121250E-1,-3.699729225E-1,4.562149680E-1,-3.910617828E-1,7.056496145E-1
3.533581250E-1,-4.308593944E-1,2.851336241E-1,-1.157803663E0,1.267852643E0
3.634041250E-1,-6.274047046E-1,1.362746233E-1,-2.040861281E0,2.139467738E0
3.734501250E-1,-1.208134156E0,4.780133879E-1,-2.281677688E0,2.625669059E0
3.834951250E-1,-1.390416719E0,8.545670593E-1,-2.050096958E0,2.620389484E0
3.935411250E-1,-1.122071840E0,6.808784419E-1,-1.727430641E0,2.169483184E0
4.035871250E-1,-1.370804281E0,3.407254422E-1,-1.594325793E0,2.130040595E0
4.136331250E-1,-9.625075373E-1,4.647776306E-2,-1.448936530E0,1.740114367E0
4.236791250E-1,-7.202919645E-1,4.253188652E-1,-7.293214542E-1,1.109786662E0
4.337251250E-1,-9.677457654E-1,4.570522892E-1,-8.004183340E-1,1.336449839E0
4.437711250E-1,-1.103826407E0,2.947458619E-1,-8.857391506E-1,1.445628480E0
4.538171250E-1,-1.460386548E0,5.589408991E-1,-8.540589362E-1,1.781729627E0
4.638631250E-1,-1.484889451E0,6.374558491E-1,-1.004199062E0,1.902541037E0
4.739091250E-1,-1.309830831E0,5.238508809E-1,-1.001587695E0,1.730102443E0
4.839551250E-1,-9.060829295E-1,-2.303919911E-2,-9.249096483E-1,1.294980671E0
4.940011250E-1,-7.144502306E-1,-4.818257725E-1,-6.646623588E-1,1.088288224E0
