"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.990320833E-2,6.410989568E-2,1.892059582E-1,1.207235439E0,1.223652884E0
2.994820834E-2,-1.128088698E-2,5.424461961E-1,1.269761471E0,1.380821975E0
3.999220833E-2,-3.262690786E-1,6.437761045E-1,1.452503332E0,1.621932524E0
5.003620833E-2,-6.545564698E-1,7.876360282E-1,1.414199976E0,1.746074528E0
6.008120833E-2,-7.595772868E-1,7.880374396E-1,1.348604157E0,1.736863217E0
7.012520832E-2,-8.597580712E-1,7.888966879E-1,1.288271416E0,1.738155680E0
8.016920832E-2,-6.775686255E-1,9.273438442E-1,1.113230338E0,1.599483552E0
9.021420832E-2,-3.044148177E-1,1.165002170E0,4.574025375E-1,1.288066582E0
1.002582083E-1,5.871423125E-2,1.528623555E0,1.448700303E-1,1.536595151E0
1.103022083E-1,2.587327145E-1,1.797598106E0,-1.892936665E-1,1.825961024E0
1.203472083E-1,1.276632826E-1,1.904593382E0,-3.055731511E-1,1.933170663E0
1.303912083E-1,6.862953756E-2,1.579823529E0,-1.426048189E-1,1.587730623E0
1.404352083E-1,3.385916105E-2,1.156538033E0,2.152032638E-1,1.176876846E0
1.504792083E-1,3.700927996E-2,8.220005532E-1,6.061516106E-1,1.021995289E0
1.605242083E-1,-1.048211347E-1,5.392903076E-1,9.161388248E-1,1.068237732E0
1.705682083E-1,-2.865256269E-1,5.079753980E-1,9.022844321E-1,1.074361734E0
1.806132083E-1,-1.536775450E-1,4.551158376E-1,3.490027606E-1,5.937593287E-1
1.906572083E-1,2.692987063E-1,6.457284898E-2,-8.301262826E-1,8.751006177E-1
2.007012083E-1,4.110097052E-1,5.227513120E-2,-1.435138271E0,1.493748146E0
2.107452083E-1,4.104790704E-1,-4.980880487E-1,-2.406446160E0,2.491499126E0
2.207902083E-1,6.200412329E-1,-9.903920317E-1,-2.562193766E0,2.816054758E0
2.308342083E-1,8.929666016E-1,-1.381249893E0,-2.147592847E0,2.705068512E0
2.408782083E-1,9.046024145E-1,-1.336515331E0,-1.073702576E0,1.938405525E0
