"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.634907900E-2,-2.338802814E-1,2.103538513E-1,3.613233566E-1,4.790650236E-1
7.137647400E-2,-2.575480938E-1,2.596864700E-1,3.448352814E-1,5.026723134E-1
7.641673500E-2,-1.668505669E-1,2.534646988E-1,2.397794724E-1,3.867527124E-1
8.146751600E-2,-5.748367310E-2,1.952457428E-1,1.709966660E-1,2.658291416E-1
8.652611000E-2,3.936696053E-2,1.279182434E-1,1.307034492E-1,1.870727832E-1
9.158965100E-2,1.523687840E-1,5.137920380E-2,1.165666580E-1,1.986047700E-1
9.665512000E-2,2.093594074E-1,1.059055328E-2,1.088156700E-1,2.361871532E-1
1.016965790E-1,2.092995644E-1,7.829666138E-3,8.432722092E-2,2.257846131E-1
1.066905370E-1,2.050395012E-1,3.200817108E-2,9.368991852E-2,2.276917234E-1
1.116844950E-1,1.921286583E-1,5.463886261E-2,6.240558624E-2,2.092684492E-1
1.166784540E-1,2.120604515E-1,5.765819550E-2,-1.224851608E-2,2.201002698E-1
1.216724120E-1,2.542822361E-1,3.745079041E-2,-4.189062119E-2,2.604166689E-1
1.266663700E-1,3.043091297E-1,8.711814880E-3,-1.486873627E-2,3.047966887E-1
1.316603290E-1,3.437705040E-1,-5.288124084E-3,6.869316101E-3,3.438797918E-1
1.366542870E-1,3.318061829E-1,-9.838104248E-3,1.909780502E-2,3.325009134E-1
1.416482450E-1,3.209428787E-1,-5.249977112E-3,2.671289444E-2,3.220954399E-1
1.466422040E-1,2.926113605E-1,1.738929749E-2,-2.545595169E-2,2.942308642E-1
1.516361620E-1,2.290000916E-1,1.037101746E-1,-1.354045868E-1,2.855367653E-1
1.566301200E-1,3.160872459E-1,4.373836517E-2,-1.211781502E-1,3.413331741E-1
1.616240790E-1,2.526931763E-1,1.817417145E-2,-4.722881317E-2,2.577105016E-1
1.666180370E-1,3.028898239E-1,-2.050590515E-2,5.871772766E-3,3.036399435E-1
1.716119950E-1,2.822649479E-1,-4.879283905E-2,2.497196198E-2,2.875375468E-1
1.766059540E-1,3.044762611E-1,-6.238746643E-2,-3.990793228E-2,3.133538457E-1
