"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.049454167E-2,1.092875303E-1,2.647174859E-1,-3.217775398E-1,4.307666384E-1
2.053954167E-2,5.598694369E-2,1.735243106E-1,-3.114472640E-1,3.608941984E-1
3.058454167E-2,1.346441272E-1,8.040447772E-2,-5.475192404E-1,5.695359862E-1
4.062954168E-2,1.940217251E-1,1.721010983E-2,-8.855771828E-1,9.067455896E-1
5.067454165E-2,2.030890024E-1,-1.236686110E-3,-9.610360855E-1,9.822611821E-1
6.071954165E-2,1.323985040E-1,-6.760550737E-2,-8.335457343E-1,8.466985058E-1
7.076454166E-2,4.674848914E-3,-1.373832554E-1,-4.926945770E-1,5.115114459E-1
8.080954166E-2,-2.518634056E-1,7.207628846E-2,-3.844632000E-1,4.652334022E-1
9.085454166E-2,-2.647226022E-1,1.619327903E-1,-6.390597403E-2,3.168347491E-1
1.008995417E-1,-1.161632712E-1,1.945620078E-1,9.290524006E-2,2.449074602E-1
1.109445417E-1,-1.267617881E-1,1.698353022E-1,1.490338326E-2,2.124492684E-1
1.209895417E-1,-6.526106626E-2,1.111473835E-1,-4.250574946E-2,1.357184083E-1
1.310345417E-1,1.780465472E-1,7.146583915E-2,1.950385559E-1,2.735835839E-1
1.410795417E-1,2.254820842E-1,1.482035279E-1,7.094993931E-1,7.590756516E-1
1.511245416E-1,-1.279133973E-1,4.488503999E-1,7.792379647E-1,9.083173038E-1
1.611695417E-1,-6.916320562E-2,5.337584031E-1,9.027808607E-2,5.457396034E-1
1.712145417E-1,5.883157025E-1,9.652326322E-1,-2.972402841E-1,1.168820425E0
1.812595417E-1,7.668477148E-1,4.526025581E-1,2.480856657E-2,8.907973722E-1
1.913045417E-1,-2.869468457E-1,7.634890741E-1,-6.870887697E-1,1.066463800E0
2.013495417E-1,-3.364612140E-1,3.634740347E-1,-1.384531789E0,1.470458363E0
2.113945417E-1,4.021498579E-1,-2.208411491E-1,-1.612542794E0,1.676540958E0
2.214385417E-1,1.181096631E-1,-1.881718782E-1,-1.363470703E0,1.381452462E0
2.314835417E-1,-1.004176550E0,7.078726977E-2,-1.557964298E0,1.854894643E0
2.415285417E-1,-1.412248760E0,-3.860109580E-1,-1.833176951E0,2.346058131E0
2.515735417E-1,-1.028903840E0,-9.586504215E-1,-1.581634997E0,2.116417493E0
2.616185417E-1,-6.430954885E-1,-1.264932840E0,-1.105711403E0,1.798950973E0
2.716635417E-1,1.696920455E-2,-1.480825198E0,-6.841072744E-1,1.631298251E0
2.817085417E-1,-3.318198404E-1,-6.253585446E-1,-1.826383656E-1,7.311186555E-1
2.917535416E-1,-6.810161439E-1,-1.417282921E0,1.337924802E-1,1.578091979E0
3.017985417E-1,-7.078364450E-1,-1.679566211E0,-1.980781140E0,2.691740889E0
3.118435417E-1,-7.373037806E-1,-9.665213585E-2,-3.061570541E0,3.150582910E0
3.218885417E-1,-1.438905047E0,7.218028119E-1,-2.297832960E0,2.805616393E0
3.319335417E-1,-1.520805243E0,5.464199638E-1,-1.452884570E0,2.173084660E0
3.419785417E-1,-1.606448826E0,3.519322157E-2,-7.254640460E-1,1.763012897E0
3.520235417E-1,-9.262925148E-1,-8.495027858E-1,-6.217168987E-2,1.258387113E0
3.620685417E-1,-2.599286163E-1,-1.799019856E0,-5.266821027E-2,1.818463436E0
3.721135417E-1,-5.392729121E-1,-1.960856460E0,-1.684524357E-2,2.033729848E0
3.821585417E-1,-8.151205730E-1,-1.908958036E0,-3.440273649E-1,2.104019287E0
3.922035417E-1,-1.268028356E0,-1.540978721E0,-7.791163427E-1,2.142319679E0
4.022485416E-1,-1.688526192E0,-1.090755980E0,-1.404374900E0,2.452170093E0
4.122935417E-1,-2.049334481E0,-9.302469867E-1,-2.017030368E0,3.022175173E0
4.223385417E-1,-2.422355264E0,-1.007782820E0,-2.299608175E0,3.488786178E0
4.323835417E-1,-2.760188674E0,-1.201315134E0,-2.423012491E0,3.864296715E0
4.424275417E-1,-2.983665163E0,-1.609658655E0,-2.379461845E0,4.141871251E0
4.524725417E-1,-2.199897945E0,-1.469256189E0,-2.429989389E0,3.592090359E0
4.625175417E-1,-2.019586771E0,-1.281655292E0,-2.094825819E0,3.179570132E0
4.725625417E-1,-2.251050557E0,-1.543083427E0,-1.762225667E0,3.248657319E0
4.826075417E-1,-3.173943501E0,-3.184597127E0,-1.231986119E0,4.661905834E0
4.926525417E-1,-2.488306010E0,-2.173372051E0,-1.724809919E0,3.726953465E0
5.026975417E-1,-3.056830788E0,-8.497705883E-1,-1.495509018E0,3.507544973E0
5.127425417E-1,-2.930189452E0,-1.536727796E0,-1.689237213E0,3.714978453E0
5.227875417E-1,-3.209879903E0,-2.318616888E0,-1.092703103E0,4.107713882E0
5.328325416E-1,-3.444394766E0,-2.744914869E0,-6.439667237E-1,4.451191536E0
5.428775417E-1,-3.498306679E0,-3.015307663E0,-5.870990431E-1,4.655632633E0
5.529225417E-1,-3.297633746E0,-3.289820989E0,-4.118085811E-1,4.676205382E0
5.629675417E-1,-3.048805484E0,-3.471340490E0,-7.605327219E-2,4.620736281E0
5.730125417E-1,-2.520253442E0,-3.352475951E0,-8.528193265E-2,4.195002434E0
5.830575417E-1,-1.964570904E0,-3.289949043E0,-8.733869076E-2,3.832875107E0
5.931025417E-1,-1.555595591E0,-3.461720066E0,6.547127366E-2,3.795743662E0
6.031475417E-1,-9.899552447E-1,-3.716510149E0,4.304825413E-1,3.870112956E0
6.131925417E-1,-3.955197001E-1,-4.019964854E0,7.696445842E-1,4.112044023E0
6.232375417E-1,2.534194958E-1,-3.684057225E0,1.100344829E0,3.853213960E0
6.332815417E-1,6.138512242E-1,-2.874740306E0,1.469229877E0,3.286271685E0
6.433265417E-1,1.343594847E0,-2.445115551E0,1.373125041E0,3.109551342E0
6.533715417E-1,2.645435312E0,-2.031289096E0,1.602703099E0,3.700421680E0
6.634165417E-1,4.045465146E0,-1.667990186E0,2.160543845E0,4.880156679E0
6.734615416E-1,5.646885366E0,-1.439836509E0,2.250932443E0,6.247170590E0
6.835070417E-1,6.843818597E0,-8.825082716E-1,1.978011314E0,7.178384400E0
6.935520417E-1,7.507579899E0,-1.110213760E-1,1.424992182E0,7.642426605E0
7.035970417E-1,7.956209275E0,3.801172569E-1,6.001418424E-1,7.987861127E0
7.136420417E-1,8.133630754E0,3.032582384E-1,-5.344330256E-1,8.156809025E0
7.236870417E-1,7.987785408E0,6.026225236E-1,-1.479976913E0,8.146054339E0
7.337320417E-1,7.622969438E0,1.072886889E0,-1.971157207E0,7.946458964E0
7.437770417E-1,7.602148672E0,1.204086129E0,-2.365940158E0,8.052338833E0
7.538220417E-1,7.707290965E0,1.406193969E0,-2.338077299E0,8.175959941E0
7.638670416E-1,7.621384258E0,1.713030118E0,-2.160665759E0,8.104840943E0
7.739120417E-1,7.154565364E0,1.957969397E0,-2.360510434E0,7.784180061E0
7.839570417E-1,6.671805791E0,2.054483831E0,-2.590767354E0,7.446205196E0
7.940020417E-1,6.383426962E0,2.153563146E0,-2.460154590E0,7.172052330E0
8.040470417E-1,6.095539885E0,2.317316760E0,-2.271612583E0,6.905489641E0
8.140920417E-1,5.823093549E0,2.446357500E0,-2.357720435E0,6.741804591E0
8.241360417E-1,5.580817677E0,2.082954509E0,-3.395069409E0,6.856436518E0
8.341810417E-1,5.235685188E0,1.576352622E0,-4.656474624E0,7.181924735E0
8.442260417E-1,4.736479737E0,1.808164902E0,-3.902743968E0,6.398055258E0
8.542710417E-1,3.834257285E0,2.588324680E0,-3.555912571E0,5.834849423E0
8.643160417E-1,2.886700786E0,2.359258545E0,-3.301735568E0,4.980020087E0
8.743610417E-1,2.176868686E0,2.040865958E0,-2.220174042E0,3.719282715E0
8.844060417E-1,1.568548928E0,1.865908788E0,-8.817194822E-1,2.592178734E0
8.944510416E-1,1.105735377E0,1.509736171E0,2.757079124E-2,1.871553948E0
9.044960417E-1,8.173805219E-1,1.256617807E0,7.327397364E-1,1.668564278E0
9.145410417E-1,8.148855150E-1,1.247418090E0,1.402409066E0,2.046177285E0
9.245860417E-1,5.774914831E-1,1.433594314E0,1.601204166E0,2.225431160E0
9.346310417E-1,3.548523152E-1,1.629052115E0,1.420363819E0,2.190242986E0
9.446760417E-1,3.645967001E-1,1.838201171E0,6.504071394E-1,1.983669264E0
9.547210417E-1,-2.156061369E-1,1.927758296E0,1.120346984E-1,1.943010506E0
9.647660417E-1,-1.347013714E0,8.298795301E-1,-5.438319862E-1,1.672991097E0
9.748110417E-1,-1.128588635E0,1.894150547E0,-2.256411284E0,3.154823368E0
9.848560417E-1,-1.583102063E0,3.230007774E0,-7.258490852E-1,3.669607507E0
9.949010417E-1,-1.708006775E0,2.010098494E0,1.131320454E0,2.870133981E0
1.004945042E0,-1.817434493E0,8.200535765E-1,1.893202421E0,2.749503848E0
1.014990042E0,-2.078133187E0,7.687085912E-1,1.882202346E0,2.907272969E0
1.025035042E0,-2.260704310E0,9.252914715E-1,1.635999192E0,2.939973068E0
