"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.527104166E-2,8.136890285E-1,9.408099818E-1,6.966431201E-1,1.425666474E0
2.531704167E-2,1.137509001E0,8.161216164E-1,9.000829554E-1,1.664370916E0
3.536304168E-2,1.466246043E0,5.933368528E-1,1.065621139E0,1.907216425E0
4.540904166E-2,1.634951371E0,3.422848946E-1,1.215881717E0,2.066057425E0
5.545504167E-2,1.671986758E0,1.870176378E-1,1.424670001E0,2.204586112E0
6.550104168E-2,1.795470597E0,1.139025915E-1,1.523775043E0,2.357663854E0
7.554704166E-2,1.936771925E0,4.186781824E-2,1.528668578E0,2.467724868E0
8.559404168E-2,1.762899997E0,8.279101878E-2,1.492393622E0,2.311257120E0
9.564004166E-2,1.727105244E0,-1.790665939E-1,1.561311829E0,2.335091432E0
1.056860417E-1,1.941654789E0,-8.723303157E-1,1.551703100E0,2.634153755E0
1.157320417E-1,2.606374158E0,-1.646767424E0,1.427516425E0,3.397474407E0
1.257780417E-1,2.485807495E0,-1.929546521E0,1.641178363E0,3.549063974E0
1.358240417E-1,1.896662072E0,-1.263965710E0,1.003828933E0,2.490503736E0
1.458710417E-1,1.082958426E0,-5.517228037E-2,1.245199656E-1,1.091488962E0
1.559170417E-1,8.641461141E-1,1.167416632E0,-6.444023412E-1,1.588982214E0
1.659630417E-1,1.275961419E0,1.560217669E0,-7.407112455E-1,2.147326214E0
1.760090417E-1,1.699065213E0,1.321411827E0,-4.728502965E-1,2.203755707E0
1.860550417E-1,2.401554087E0,1.433207520E0,-2.175333792E-1,2.805150014E0
1.961010417E-1,2.973564390E0,1.359721468E0,1.153820540E0,3.467308681E0
2.061470417E-1,2.722355434E0,5.592845692E-1,2.251873845E0,3.577003516E0
2.161940417E-1,1.690913025E0,2.322144221E-1,1.701508180E0,2.410029146E0
2.262400417E-1,5.456130481E-1,7.274443518E-1,1.632349067E0,1.868537492E0
2.362860417E-1,-2.848278147E-1,1.249198129E0,2.240587549E0,2.581057034E0
2.463320417E-1,-4.225434843E-1,1.872455476E0,2.439520935E0,3.104173787E0
2.563780417E-1,-3.058950403E-1,2.524333044E0,1.836912153E0,3.136889439E0
2.664240417E-1,2.109637401E-1,2.830404671E0,1.098873670E0,3.043553785E0
2.764710417E-1,1.095084089E0,2.123536232E0,9.595479691E-1,2.574751948E0
2.865170417E-1,1.550504713E0,9.786623709E-1,7.730790925E-1,1.989848282E0
2.965630417E-1,8.208502597E-1,-7.608902791E-1,-2.582261994E0,2.814396236E0
3.066090417E-1,-1.872968423E0,-2.146392413E0,-4.961434402E0,5.721087522E0
3.166550417E-1,-4.521405112E0,1.319760427E0,-3.976791937E0,6.164393391E0
3.267010417E-1,-3.489789040E0,2.736991600E0,-3.023954818E0,5.367872325E0
3.367470417E-1,-1.932094883E0,9.820202807E-1,-1.819581590E0,2.829881912E0
3.467940417E-1,-2.059296967E0,2.144413569E0,-9.217732018E-1,3.112696482E0
3.568400417E-1,-2.604075032E0,2.429098566E0,5.245654106E-1,3.599568792E0
3.668860417E-1,-3.518984773E0,1.080424973E0,5.366732401E-1,3.720025554E0
3.769320417E-1,-4.160944147E0,6.938589683E-1,-4.654050368E-1,4.243995560E0
3.869780417E-1,-5.319630740E0,3.492454201E-1,-1.066142710E0,5.436644540E0
3.970240417E-1,-6.121085785E0,-7.386419159E-1,-8.977376372E-1,6.230506876E0
4.070710417E-1,-7.239862792E0,-3.344965788E0,-5.829978061E-1,7.996517730E0
4.171170417E-1,-8.095189989E0,-5.847943631E0,-6.399116796E-1,1.000699918E1
4.271630417E-1,-8.902270641E0,-4.749352674E0,-2.513320398E-1,1.009306401E1
4.372090417E-1,-8.792257032E0,-2.206937700E0,8.872085559E-1,9.108320194E0
4.472550417E-1,-8.021895141E0,-2.511004901E0,2.268999170E0,8.706566746E0
4.573010417E-1,-7.841029066E0,-3.188400741E0,3.084365326E0,9.008936984E0
4.673470417E-1,-8.020182492E0,-2.502756234E0,3.210439482E0,8.994111275E0
4.773940417E-1,-7.761251410E0,-3.145153857E0,2.589156446E0,8.765429102E0
4.874400417E-1,-7.152884290E0,-4.001295572E0,1.990815547E0,8.434302962E0
4.974860417E-1,-6.167714991E0,-3.657732183E0,8.756983119E-1,7.224026610E0
5.075320417E-1,-4.373851794E0,-2.699146081E0,-1.020282998E0,5.239937641E0
5.175780417E-1,-1.678971841E0,-1.800088435E0,-2.948628647E0,3.841051381E0
5.276240417E-1,1.628160122E0,-2.340788945E0,-2.181484478E0,3.590135484E0
5.376710417E-1,5.218207861E0,-2.309894889E0,-4.931225932E-1,5.727868501E0
5.477170417E-1,9.081186669E0,-1.516917429E0,9.057407212E-1,9.251451565E0
5.577630417E-1,1.168751990E1,-3.654296725E-1,1.546158185E0,1.179501019E1
5.678090417E-1,1.420853757E1,1.000040522E-1,3.222388852E-1,1.421254300E1
5.778550417E-1,1.601369466E1,6.624544501E-1,-9.855774343E-1,1.605766563E1
5.879010417E-1,1.696833916E1,1.202467620E0,-1.874460633E0,1.711385593E1
5.979480417E-1,1.741968807E1,1.463173039E0,-2.286133851E0,1.762988417E1
6.079940417E-1,1.700281434E1,1.709009573E0,-2.421065369E0,1.725914154E1
6.180400417E-1,1.594884904E1,2.081603510E0,-2.397316318E0,1.626179524E1
6.280860417E-1,1.507172810E1,2.222814937E0,-2.137087154E0,1.538392134E1
6.381320417E-1,1.411724850E1,1.896109656E0,-1.508513226E0,1.432367094E1
6.481780417E-1,1.335920611E1,1.333559710E0,2.040793380E-2,1.342561677E1
6.582250417E-1,1.319617638E1,8.257623594E-1,1.885997189E0,1.335582045E1
6.682710417E-1,1.279052462E1,4.161616138E-1,2.862271703E0,1.311347818E1
6.783170417E-1,1.140755053E1,-2.445687117E-1,2.681734242E0,1.172108022E1
6.883630417E-1,8.553664906E0,-5.612422170E-1,1.888157735E0,8.777546114E0
6.984090417E-1,4.905285344E0,-3.917823060E-1,2.383225697E-1,4.926673861E0
7.084550417E-1,1.679437280E0,-2.421840709E-1,-1.743955457E0,2.433216665E0
7.185010417E-1,-7.196472359E-1,-1.789776432E-1,-2.957097169E0,3.048663446E0
7.285480417E-1,-2.226047863E0,-1.203140634E-1,-3.132666836E0,3.844914312E0
7.385940417E-1,-3.831926585E0,-5.048442140E-2,-3.160591968E0,4.967449206E0
7.486400417E-1,-5.671032613E0,1.388121687E-1,-2.688310898E0,6.277491155E0
7.586860417E-1,-6.952469804E0,8.570218666E-1,-1.709141428E0,7.210581618E0
7.687320417E-1,-8.265636910E0,1.737872306E0,-1.329201926E0,8.550305927E0
7.787780417E-1,-9.792379416E0,2.193066643E0,-1.704484413E0,1.017867885E1
7.888250417E-1,-1.061194212E1,2.263141722E0,-2.033720368E0,1.103952646E1
7.988710417E-1,-1.007585652E1,2.451836633E0,-1.440113959E0,1.046939902E1
8.089170417E-1,-8.361198540E0,3.364688154E0,-1.425121406E0,9.124787034E0
8.189630417E-1,-5.341815661E0,3.543598919E0,-2.748707373E0,6.974774554E0
8.290090417E-1,-2.640800809E0,2.841449769E0,-4.538524005E0,5.970415885E0
8.390550417E-1,-5.825405538E-1,2.573925619E0,-7.401507899E0,7.857911031E0
8.491020417E-1,-6.510699213E-1,3.089828964E0,-8.859844998E0,9.405731681E0
8.591480417E-1,-1.450221748E0,2.024661277E0,-6.943807154E0,7.376913595E0
8.691947917E-1,-2.968568237E0,1.381397097E0,-4.682183661E0,5.713448972E0
8.792407917E-1,-4.143528800E0,7.198086190E-1,-3.348020373E0,5.375518187E0
8.892867917E-1,-5.633318657E0,4.348609364E-1,-2.592661852E0,6.216532683E0
8.993327917E-1,-6.770951765E0,2.334980321E-1,-1.807884820E0,7.012043686E0
9.093797917E-1,-6.847479538E0,-1.575880752E0,2.900406075E-1,7.032460432E0
9.194257917E-1,-6.889927400E0,-2.795314945E0,2.704940672E0,7.912116611E0
9.294717917E-1,-6.826460552E-1,-6.872796813E0,3.519621534E0,7.751714482E0
9.395177917E-1,4.162261525E0,-4.586713540E0,2.975050460E0,6.871192571E0
9.495637917E-1,5.926102193E0,-1.973606314E0,3.215083925E0,7.024996351E0
9.596097917E-1,5.253943704E0,-1.688253711E0,2.577910789E0,6.090956335E0
9.696567917E-1,2.665272576E0,-6.758796573E-2,1.985920696E0,3.324473951E0
9.797027917E-1,1.344564316E0,1.794717475E0,2.728202942E0,3.531565561E0
9.897487917E-1,-1.238533831E-1,3.195422078E0,1.518352043E0,3.539979498E0
9.997947917E-1,-2.029094344E0,3.109644009E0,-4.003246495E-1,3.734617724E0
1.009840792E0,-3.568735222E0,4.515516381E0,-8.274910887E-1,5.814679765E0
1.019886792E0,-4.629039488E0,5.624778214E0,-1.066019334E0,7.362237007E0
1.029933792E0,-5.359704632E0,6.200909634E0,4.712661396E-1,8.209738474E0
1.039979792E0,-1.863355601E-1,6.038991462E0,4.787929387E0,7.708982205E0
1.050025792E0,1.766412858E0,7.199290717E0,1.187580024E0,7.507352897E0
1.060071792E0,-3.947889735E0,5.914562128E0,-9.359619969E0,1.175458908E1
1.070117792E0,-3.554131801E0,2.393303958E0,-1.050275238E1,1.134317259E1
1.080164792E0,-2.805915070E-1,-1.866868608E0,-2.473129562E0,3.111318020E0
1.090210792E0,-9.941190469E-1,1.847741781E0,4.235872707E0,4.727054047E0
1.100256792E0,-5.202688766E-1,3.360325254E0,4.188853492E0,5.395271920E0
1.110302792E0,-2.648357166E0,2.918502038E0,-4.345723763E-3,3.940998440E0
1.120348792E0,-4.051674305E0,3.244863794E0,-1.734998108E0,5.473154862E0
1.130394792E0,-4.369775700E0,4.554637177E0,-8.638050753E-1,6.370700016E0
1.140441792E0,-2.373688889E0,5.698629717E0,-3.265986422E-1,6.181864303E0
1.150487792E0,-2.650365100E0,6.280268630E0,-2.688141621E0,7.327503982E0
1.160533792E0,-2.581554481E0,6.372082195E0,-3.095613615E0,7.539938905E0
1.170579792E0,-2.375391598E0,6.849358833E0,-2.292219633E0,7.603319835E0
1.180625792E0,-1.926290352E0,6.681733779E0,-8.650815956E-1,7.007462235E0
