"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.804074300E-2,1.486438632E0,-5.124273300E-1,6.619763374E-1,1.705958454E0
7.296652500E-2,1.146779060E0,-5.778102875E-1,5.551762581E-1,1.398995218E0
7.790444100E-2,8.359971046E-1,-6.242480278E-1,5.123653412E-1,1.162366122E0
8.285621200E-2,5.716578960E-1,-6.178841591E-1,4.162311554E-1,9.390537572E-1
8.782298300E-2,3.543052673E-1,-6.019287109E-1,2.594814301E-1,7.451046960E-1
9.280522300E-2,1.772129536E-1,-5.541672707E-1,2.147483826E-2,5.822086941E-1
9.780277500E-2,2.179288864E-2,-4.981956482E-1,-2.056756020E-1,5.394221789E-1
1.028149100E-1,-1.198840141E-1,-4.471750259E-1,-3.978738785E-1,6.104435304E-1
1.078402750E-1,-2.276463509E-1,-4.000792503E-1,-5.633101463E-1,7.274644930E-1
1.128770980E-1,-2.953824997E-1,-3.288989067E-1,-6.502046585E-1,7.862514928E-1
1.179231910E-1,-3.439531326E-1,-2.342023849E-1,-6.721496582E-1,7.905312629E-1
1.229761080E-1,-3.836503029E-1,-1.575565338E-1,-6.459240913E-1,7.676128894E-1
1.280331910E-1,-3.921661377E-1,-1.296648979E-1,-5.597944260E-1,6.956846014E-1
1.330917850E-1,-3.525030613E-1,-1.344604492E-1,-4.708652496E-1,6.033673043E-1
1.381221500E-1,-2.892167568E-1,-9.709262848E-2,-4.016847610E-1,5.044045581E-1
1.431160040E-1,-2.119135857E-1,-5.585050583E-2,-3.647975922E-1,4.255630741E-1
1.481098580E-1,-1.252496243E-1,-5.812168121E-3,-3.312883377E-1,3.542219818E-1
1.531037120E-1,-4.736757278E-2,2.532815933E-2,-3.054056168E-1,3.100932011E-1
1.580975660E-1,-5.578589439E-2,6.607246399E-2,-2.773280144E-1,2.904969261E-1
1.630914210E-1,-8.689475060E-2,1.161427498E-1,-1.773743629E-1,2.291320594E-1
1.680852750E-1,-1.488792896E-1,1.845970154E-1,-7.486343384E-3,2.372701968E-1
1.730791290E-1,-2.360520363E-1,2.753520012E-1,2.122526169E-1,4.202266790E-1
1.780729830E-1,-2.778921127E-1,2.995724678E-1,4.114551544E-1,5.798819137E-1
1.830668370E-1,-2.616438866E-1,2.451519966E-1,5.264139175E-1,6.369212176E-1
1.880606910E-1,-2.909348011E-1,1.605229378E-1,6.716480255E-1,7.493475443E-1
1.930545460E-1,-3.318765163E-1,8.335161209E-2,8.560395241E-1,9.218965127E-1
1.980484000E-1,-4.122831821E-1,5.036258698E-2,1.004356861E0,1.086851654E0
2.030422540E-1,-4.848010540E-1,8.350563049E-2,1.057183743E0,1.166037185E0
2.080361080E-1,-5.730552673E-1,1.297731400E-1,1.045028210E0,1.198881715E0
2.130299620E-1,-7.048494816E-1,1.934342384E-1,1.123476028E0,1.340308913E0
2.180238160E-1,-7.909088135E-1,2.086439133E-1,1.262234688E0,1.504096221E0
2.230176710E-1,-8.283476830E-1,1.905546188E-1,1.324293613E0,1.573602403E0
2.280115250E-1,-8.844034672E-1,1.586303711E-1,1.311263084E0,1.589573516E0
2.330053790E-1,-9.356682301E-1,1.413011551E-1,1.299456120E0,1.607490983E0
2.379992330E-1,-1.015340328E0,1.522707939E-1,1.330776215E0,1.680793774E0
2.429930870E-1,-1.085700750E0,1.629223824E-1,1.366621494E0,1.752981498E0
2.479869410E-1,-1.095380068E0,1.639132500E-1,1.397554398E0,1.783222740E0
2.529807960E-1,-1.031066418E0,2.163801193E-1,1.470740795E0,1.809142559E0
2.579746500E-1,-9.263100624E-1,2.067079544E-1,1.543452740E0,1.811911938E0
2.629685040E-1,-8.278539181E-1,1.454625130E-1,1.602036953E0,1.809150036E0
2.679623580E-1,-7.533717155E-1,7.584524155E-2,1.689354897E0,1.851281018E0
2.729562120E-1,-7.015521526E-1,5.420875549E-2,1.842770100E0,1.972540406E0
2.779500660E-1,-6.571676731E-1,7.010316849E-2,1.953379154E0,2.062152740E0
2.829439210E-1,-6.474633217E-1,1.227402687E-1,2.031746864E0,2.135946920E0
2.879377750E-1,-6.195080280E-1,2.300925255E-1,2.097584724E0,2.199225874E0
2.929316290E-1,-6.155853271E-1,3.205718994E-1,2.151318550E0,2.260505063E0
2.979254830E-1,-5.974111557E-1,4.180078506E-1,2.235582352E0,2.351480194E0
3.029193370E-1,-5.418848991E-1,5.080380440E-1,2.298149109E0,2.415208319E0
3.079131910E-1,-4.923655987E-1,5.626063347E-1,2.268667221E0,2.388681798E0
3.129070460E-1,-4.352076054E-1,5.824007988E-1,2.186057091E0,2.303788609E0
