"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.308385400E-2,2.692465782E-1,-3.765630722E-2,1.618137360E0,1.640816940E0
6.798906200E-2,-1.567182541E-1,6.160354614E-2,1.408901691E0,1.418929027E0
7.289427000E-2,-4.562258720E-1,1.212816238E-1,1.302897453E0,1.385782469E0
7.780260400E-2,-6.216559410E-1,1.226501465E-1,1.266099930E0,1.415806554E0
8.271739500E-2,-6.426353455E-1,3.838396072E-2,1.224534512E0,1.383451584E0
8.764161400E-2,-5.515022278E-1,-6.877279282E-2,1.212404728E0,1.333720221E0
9.257765600E-2,-3.950524330E-1,-1.757283211E-1,1.208534718E0,1.283550946E0
9.752739500E-2,-1.851015091E-1,-2.243361473E-1,1.301524639E0,1.333625008E0
1.024920830E-1,4.481792450E-2,-1.769175529E-1,1.553637505E0,1.564320288E0
1.074722910E-1,3.035788536E-1,-2.857255936E-2,1.848517418E0,1.873497573E0
1.124679680E-1,5.816025734E-1,1.170392036E-1,2.066926956E0,2.150382936E0
1.174784890E-1,8.884844780E-1,1.564207077E-1,2.177098274E0,2.356613885E0
1.225026040E-1,1.256734848E0,9.972524643E-2,2.166388512E0,2.506504895E0
1.275385930E-1,1.644898653E0,-4.384136200E-2,2.099969864E0,2.667861892E0
1.325843220E-1,1.963116407E0,-2.060894966E-1,2.021673203E0,2.825501981E0
1.376373430E-1,2.207266092E0,-3.814315796E-1,1.881481171E0,2.925317940E0
1.426949990E-1,2.354611158E0,-5.137052536E-1,1.709084511E0,2.954497700E0
1.477545830E-1,2.368875265E0,-5.950174332E-1,1.583726883E0,2.910980352E0
1.527961450E-1,2.265642643E0,-6.409235001E-1,1.517593384E0,2.801251363E0
1.577906240E-1,2.073506832E0,-6.943945885E-1,1.476548195E0,2.638524019E0
1.627851040E-1,1.803569198E0,-7.871732712E-1,1.389385223E0,2.408919863E0
1.677795830E-1,1.583929420E0,-9.457626343E-1,1.173892975E0,2.186623901E0
1.727740620E-1,1.386198401E0,-1.149730682E0,9.635505676E-1,2.042512264E0
1.777685410E-1,1.191448569E0,-1.356592178E0,1.008587837E0,2.068125107E0
1.827630200E-1,9.424281120E-1,-1.539182186E0,1.375750542E0,2.269348387E0
1.877574990E-1,5.952599049E-1,-1.666211367E0,1.893090248E0,2.591213106E0
1.927519790E-1,1.993316412E-1,-1.688270092E0,2.188834190E0,2.771458843E0
1.977464580E-1,-1.872626543E-1,-1.622551918E0,2.241230011E0,2.773238899E0
2.027409370E-1,-5.111808777E-1,-1.499846935E0,2.210796356E0,2.720012362E0
2.077354160E-1,-7.052805424E-1,-1.354761124E0,2.286637306E0,2.749819724E0
2.127298950E-1,-7.738131285E-1,-1.179161549E0,2.518096924E0,2.886177547E0
2.177243740E-1,-6.925733089E-1,-1.016309261E0,2.776093483E0,3.036319701E0
2.227188540E-1,-5.169407129E-1,-8.991637230E-1,2.859967232E0,3.042225447E0
2.277133330E-1,-2.907149792E-1,-8.648443222E-1,2.709192276E0,2.858704897E0
2.327078120E-1,1.020711660E-2,-9.169037342E-1,2.273589134E0,2.451535069E0
2.377022910E-1,3.311026990E-1,-1.040219307E0,1.667464256E0,1.993018377E0
2.426967700E-1,6.240099669E-1,-1.168581247E0,9.787960052E-1,1.647122397E0
2.476912490E-1,9.265146255E-1,-1.293065310E0,2.931833267E-1,1.617530126E0
2.526857290E-1,1.120357752E0,-1.395378828E0,-3.527364731E-1,1.823926146E0
2.576802080E-1,1.225120544E0,-1.485519171E0,-8.342056274E-1,2.098472441E0
2.626746870E-1,1.263393998E0,-1.459364176E0,-1.606453896E0,2.511294947E0
2.676691660E-1,1.324049830E0,-1.572896004E0,-2.722936630E0,3.411963318E0
2.726636450E-1,1.335467100E0,-1.472120762E0,-2.915332794E0,3.528424183E0
2.776581240E-1,1.244224906E0,-1.318667531E0,-2.816928864E0,3.349935506E0
2.826526040E-1,1.159803510E0,-1.246318579E0,-2.541566849E0,3.059087483E0
2.876470830E-1,1.131417513E0,-1.366780996E0,-2.327664375E0,2.926810094E0
2.926415620E-1,1.023390651E0,-1.488774896E0,-2.141123772E0,2.801462140E0
2.976360410E-1,8.344029188E-1,-1.513938904E0,-1.976566315E0,2.625843413E0
3.026305200E-1,6.669893265E-1,-1.463158488E0,-1.852216721E0,2.452838010E0
3.076249990E-1,4.999303818E-1,-1.343037248E0,-1.625904083E0,2.167312512E0
3.126194790E-1,3.739404678E-1,-1.178725243E0,-1.336709023E0,1.820993048E0
3.176139580E-1,3.290333748E-1,-9.619909525E-1,-9.758567810E-1,1.409250159E0
3.226084370E-1,2.775146961E-1,-6.562875509E-1,-7.089719772E-1,1.005171140E0
3.276029160E-1,2.090420723E-1,-3.904477358E-1,-6.898031235E-1,8.197416493E-1
3.325973950E-1,1.517651081E-1,-1.309208870E-1,-7.636337280E-1,7.894994600E-1
3.375918740E-1,1.523468494E-1,9.904003143E-2,-7.829570770E-1,8.037663061E-1
3.425863540E-1,2.282760143E-1,2.768063545E-1,-7.816419601E-1,8.600557252E-1
3.475808330E-1,2.976605892E-1,4.651582241E-1,-8.967828751E-1,1.053182570E0
3.525753120E-1,1.340596676E-1,6.883335114E-1,-1.367448807E0,1.536779508E0
3.575697910E-1,-2.155554295E-1,9.613378048E-1,-1.943828583E0,2.179243923E0
3.625642700E-1,9.214639664E-2,8.836507797E-1,-1.789645195E0,1.998038934E0
3.675587490E-1,3.386173248E-1,8.014748096E-1,-1.736501694E0,1.942282599E0
3.725532290E-1,6.039998531E-1,8.765082359E-1,-1.981196404E0,2.249049066E0
3.775477080E-1,4.773578644E-1,8.622748852E-1,-2.472729683E0,2.661912957E0
3.825421870E-1,1.777682304E-1,7.752013206E-1,-3.000638962E0,3.104250765E0
3.875366660E-1,-5.001664162E-2,6.740787029E-1,-3.503903866E0,3.568504738E0
3.925311450E-1,-1.346220970E-1,4.514832497E-1,-3.823055744E0,3.851975527E0
3.975256240E-1,-1.009402275E-1,1.905798912E-1,-3.894917488E0,3.900883472E0
4.025201040E-1,-8.783745766E-2,-2.671623230E-2,-3.883564949E0,3.884650034E0
4.075145830E-1,-2.281610966E-1,-2.045456171E-1,-3.903515816E0,3.915524501E0
4.125090620E-1,-4.403665066E-1,-3.849376440E-1,-3.888119698E0,3.931866533E0
4.175035410E-1,-6.959943771E-1,-5.385736227E-1,-3.832918167E0,3.932649412E0
4.224980200E-1,-9.572825432E-1,-6.462581158E-1,-3.771271706E0,3.944176682E0
4.274924990E-1,-1.215312243E0,-7.080603838E-1,-3.561008453E0,3.828722314E0
4.324869790E-1,-1.456459522E0,-6.723728180E-1,-3.364284039E0,3.727166033E0
4.374814580E-1,-1.629380465E0,-5.074051619E-1,-3.204038143E0,3.630179213E0
4.424759370E-1,-1.668869019E0,-2.910987139E-1,-3.050870419E0,3.489652214E0
